country_str,country_id,200740,200741,200742,200743,200744,200745,200746,200747,200748,200749,200750,200751,200752,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200813,200814,200815,200816,200817,200818,200819,200820
Hong Kong,84,4,1,0,0,1,1,0,0,1,0,0,2,4,6,11,14,25,25,36,51,50,85,124,131,58,30,5,16,7,10,8,3,7
